sol,easting,northing,dist_m,tilt,final,straight_line
340,4353973.432,1092499.373,0.0,1.594445146,m,98.49482407722869
340,4354061.217,1092474.929,238.516,0.7980901058,y,91.12472420271754
341,4354132.847,1092485.742,0.0,6.63768247,m,72.44154794719506
341,4354191.509,1092455.368,0.0,6.407230096,m,66.05914107790734
341,4354261.48,1092419.055,240.61,11.23336523,y,78.83257454962846
342,4354272.96,1092413.606,12.809,12.83352418,y,12.70755684579551
343,4354281.367,1092404.066,0.0,9.397495516,m,12.71570874904367
343,4354277.861,1092400.408,19.241,9.83202335,y,5.066853066821742
350,4354354.807,1092371.938,0.0,6.55592196,m,82.04406021199523
351,4354577.125,1092385.777,0.0,2.442846341,m,222.74831322590194
352,4354573.996,1092445.356,488.525,4.753585165,y,59.66110862184528
353,4354590.056,1092514.777,0.0,1.810823616,m,71.25446541094286
353,4354563.063,1092601.769,212.283,3.381908963,y,91.08364349872727
354,4354565.325,1092687.402,0.0,5.615061985,m,85.6628702121625
354,4354550.094,1092761.27,0.0,2.547976551,m,75.42191183615732
354,4354544.138,1092783.97,186.747,0.3916666742,y,23.468360317449363
355,4354526.532,1093030.646,269.083,2.064218553,y,247.30349817988926
358,4354550.905,1093066.183,0.0,1.965053991,m,43.092011997935444
359,4354550.697,1093066.315,44.062,1.965053991,y,0.24634934591171925
360,4354543.723,1093151.681,0.0,2.130508322,m,85.65039773415482
360,4354566.324,1093253.994,204.676,3.110411162,y,104.77955511434327
361,4354581.348,1093256.238,19.44,4.226224092,y,15.190658708760276
362,4354581.159,1093256.69,9.392,2.833331857,y,0.4899234635498877
379,4354527.135,1093394.577,198.821,3.497764347,y,148.09259719868277
380,4354687.455,1093558.572,0.0,0.4595836586,m,229.34005848315257
381,4354687.436,1093558.666,252.145,0.4595836586,y,0.09590099071374679
382,4354946.946,1093689.291,293.581,1.157498368,y,290.53111834254065
383,4355111.055,1093835.787,233.326,3.079892217,y,219.98373098200494
384,4355119.255,1094037.232,208.305,3.824018132,y,201.61182511209336
385,4355115.428,1094050.24,13.862,2.096372807,y,13.559277008549438
386,4355182.666,1094257.826,234.909,1.227059923,y,218.20379474230484
387,4355095.315,1094476.228,259.638,1.233564297,y,235.22251338884288
388,4354913.826,1094637.585,253.769,1.736035642,y,242.8463270672346
389,4354693.996,1094702.731,239.354,0.8867275445,y,229.2798076936262
394,4354565.589,1094697.453,128.812,1.128377234,y,128.51542682942952
395,4354370.905,1094675.926,197.61,3.585232583,y,195.87054802796848
396,4354216.711,1094647.802,158.2,3.01526186,y,156.73783529207373
397,4354171.735,1094613.231,66.563,1.065651215,y,56.72737096835157
398,4354022.819,1094541.902,229.615,1.243275393,y,165.1175378239609
399,4353829.982,1094451.459,214.092,1.583983322,y,212.9930628403345
400,4353663.102,1094326.122,212.418,2.86818446,y,208.706248035312
401,4353487.249,1094305.518,179.562,2.523996522,y,177.055930217104
402,4353319.672,1094247.42,180.35,3.918036501,y,177.36242142252104
404,4353081.256,1094170.509,253.493,0.5117846251,y,250.51445263112552
405,4352857.825,1094037.722,264.539,1.802108821,y,259.91113698713076
407,4352677.976,1093937.962,206.426,0.7770018661,y,205.6640960429017
408,4352427.892,1093845.364,269.772,0.7491494862,y,266.6765768864957
409,4352393.717,1093846.985,0.0,0.8553735277,m,34.213422307442556
409,4352218.939,1093852.075,213.761,0.806954552,y,174.8521014571316
413,4352139.689,1093867.281,0.0,0.6306699629,m,80.6956314554894
413,4352128.349,1093851.336,0.0,0.9617615599,m,19.56626241771022
413,4352119.243,1093833.925,0.0,0.7036858296,m,19.648464494860864
413,4352113.988,1093805.539,144.901,0.7856086997,y,28.868322102183935
414,4352109.237,1093797.969,0.0,0.6239199579,m,8.937387817620118
414,4351973.284,1093733.31,161.86,1.221951486,y,150.54568904465248
415,4351924.726,1093582.91,160.974,5.406558367,y,158.04442212258184
416,4351904.519,1093517.757,69.665,6.066844493,y,68.21463375236932
418,4351751.38,1093555.348,159.715,7.063907171,y,157.68524535330968
419,4351725.461,1093546.337,50.626,6.626554969,y,27.440712126083145
420,4351709.797,1093607.795,65.976,0.6335365279,y,63.422761371449106
421,4351714.057,1093647.572,42.144,4.237169815,y,40.00446636312305
422,4351713.115,1093651.738,5.312,4.225657913,y,4.271173140879589
426,4351826.423,1093628.645,144.752,6.802178151,y,115.63731885960614
427,4351886.083,1093618.088,74.285,6.991305316,y,60.58684551045123
428,4351930.815,1093708.916,121.228,1.835844073,y,101.24562908128726
430,4351930.815,1093708.991,0.084,1.50600664,y,0.07499999995343387
432,4352057.012,1093788.576,172.185,0.223920694,y,149.1960288811903
433,4352062.898,1093788.904,0.0,1.014154283,m,5.895131889910321
433,4352090.668,1093788.197,0.0,1.583001359,m,27.778998343630235
433,4352102.922,1093815.018,0.0,0.8413410302,m,29.48773570513458
433,4352106.559,1093834.376,83.747,1.027889743,y,19.69669853049102
434,4352104.8,1093839.939,0.0,1.13164899,m,5.834470841715233
